DOMAIN,DOMAIN_LENGTH,SUBDOMAIN,PORT,AT_SYMBOL,PRE_SUFFIX,HTTPS_HOSTNAME,IP_ADDRESS,SHORTENING,REDIRECTING,SUSPICIOUS_TLD,HTTPS,HTTPS_WILDCARD,HSTS,CSP,X_CONTENT_TYPE_OPTIONS,X_FRAME_OPTIONS,SECURE_COOKIES,MOUSE_OVER,RIGHT_CLICK,POPUP,I_FRAME,FAVICON,WEBSITE_TRAFFIC,FORWARDING,TP_RATING,TP_REVIEWS_COUNT,SA_RATING,SA_BACKLINKS,SA_WEBSITE_SPEED,SA_SSL_CERT,GSO_MALTIVERSE,GSO_APWG,GSO_COMPLYTRON,GSO_DNSFILTER,GSO_FLASHSTART,GSO_IQGLOBAL,GSO_PULSEDIVE,GSO_QUAD9,PR_GLOBAL_RANK,PR_PAGE_RANK,UV_DETECTIONS,UV_SITES_SAME_IP,UV_SITES_SAME_IP_DETECTIONS,TS_TRUSTED,TS_RATING,TS_REVIEWS_COUNT,WHOIS_CREATED_MONTHS,WHOIS_LAST_UPDATED_MONTHS,WHOIS_EXPIRES_IN_MONTHS,WHOIS_DNSSEC,WHOIS_COUNTRY,WHOIS_PRIVACY,TRUST
swimoutlet.com,10,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,729372,1,4.6,1282,100,781,4,1,1,1,1,1,1,1,1,1,207843,4,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
rareteacellar.com,13,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,296800,0,0.0,0,100,37,4,1,0,1,1,1,1,1,1,1,1789839,3,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
gozney.com,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,320132,0,4.4,7424,100,137,4,1,1,1,1,1,1,1,1,1,1615872,3,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
mabe.me,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,287114,0,NaN,NaN,81,NaN,4,1,0,1,1,1,1,1,1,1,56377683,1,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4711.com,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,191023,1,4.4,27,100,NaN,4,1,0,1,1,1,1,1,1,1,898448,4,0,0,0,1,4.75,366,NaN,NaN,NaN,NaN,NaN,NaN,1
yachtic.com,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,598747,0,4.0,5,100,63,4,1,0,1,1,1,1,1,1,1,7808045,2,0,14,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
kevinsnaturalfoods.com,18,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,156224,1,0.0,0,100,NaN,4,1,1,1,1,1,1,1,1,1,2727348,3,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
ravencresttactical.com,18,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,225422,0,3.8,2,100,16,2,1,0,1,1,1,1,1,1,1,5434590,2,0,14,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
cemeterydance.com,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,78438,0,NaN,NaN,100,NaN,4,1,1,1,1,1,1,1,1,1,77951,4,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bestserviceappliancerepair.com,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1543,0,NaN,NaN,100,NaN,3,1,0,1,1,1,1,1,1,1,3429238,3,0,14,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
